Symbol,Name
SPY,SPDR S&P 500 ETF Trust
IVV,iShares Core S&P 500 ETF
VOO,Vanguard S&P 500 ETF
VTI,Vanguard Total Stock Market ETF
QQQ,Invesco QQQ Trust
VEA,Vanguard FTSE Developed Markets ETF
VTV,Vanguard Value ETF
IEFA,iShares Core MSCI EAFE ETF
BND,Vanguard Total Bond Market ETF
AGG,iShares Core U.S. Aggregate Bond ETF
VUG,Vanguard Growth ETF
VWO,Vanguard FTSE Emerging Markets ETF
IEMG,iShares Core MSCI Emerging Markets ETF
IJH,iShares Core S&P Mid-Cap ETF
IJR,iShares Core S&P Small-Cap ETF
VIG,Vanguard Dividend Appreciation ETF
IWF,iShares Russell 1000 Growth ETF
GLD,SPDR Gold Shares
VXUS,Vanguard Total International Stock ETF
VO,Vanguard Mid-Cap ETF
IWD,iShares Russell 1000 Value ETF
IWM,iShares Russell 2000 ETF
VYM,Vanguard High Dividend Yield Index ETF
EFA,iShares MSCI EAFE ETF
BNDX,Vanguard Total International Bond ETF
SCHD,Schwab US Dividend Equity ETF
VGT,Vanguard Information Technology ETF
XLK,Technology Select Sector SPDR Fund
VB,Vanguard Small Cap ETF
ITOT,iShares Core S&P Total U.S. Stock Market ETF
XLE,Energy Select Sector SPDR Fund
VCIT,Vanguard Intermediate-Term Corporate Bond ETF
XLV,Health Care Select Sector SPDR Fund
BSV,Vanguard Short-Term Bond ETF
VCSH,Vanguard Short-Term Corporate Bond ETF
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF
TLT,iShares 20+ Year Treasury Bond ETF
VEU,Vanguard FTSE All-World ex-US Index Fund
RSP,Invesco S&P 500® Equal Weight ETF
VNQ,Vanguard Real Estate ETF
MUB,iShares National Muni Bond ETF
IXUS,iShares Core MSCI Total International Stock ETF
SCHX,Schwab U.S. Large-Cap ETF
SCHF,Schwab International Equity ETF
IEF,iShares 7-10 Year Treasury Bond ETF
XLF,Financial Select Sector SPDR Fund
IVW,iShares S&P 500 Growth ETF
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF
USMV,iShares MSCI USA Min Vol Factor ETF
IAU,iShares Gold Trust
IWB,iShares Russell 1000 ETF
DIA,SPDR Dow Jones Industrial Average ETF Trust
SHY,iShares 1-3 Year Treasury Bond ETF
IWR,iShares Russell Midcap ETF
QUAL,iShares MSCI USA Quality Factor ETF
VTEB,Vanguard Tax-Exempt Bond ETF
VT,Vanguard Total World Stock ETF
MBB,iShares MBS ETF
VV,Vanguard Large Cap ETF
GOVT,iShares U.S. Treasury Bond ETF
EEM,iShares MSCI Emerging Markets ETF
JPST,JPMorgan Ultra-Short Income ETF
IVE,iShares S&P 500 Value ETF
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF
VBR,Vanguard Small Cap Value ETF
PFF,iShares Preferred and Income Securities ETF
SHV,iShares Short Treasury Bond ETF
DGRO,iShares Core Dividend Growth ETF
TIP,iShares TIPS Bond ETF
SDY,SPDR S&P Dividend ETF
IUSB,iShares Core Total USD Bond Market ETF
DVY,iShares Select Dividend ETF
SCHB,Schwab U.S. Broad Market ETF
VGSH,Vanguard Short-Term Treasury ETF
MDY,SPDR S&P Midcap 400 ETF Trust
ACWI,iShares MSCI ACWI ETF
VGK,Vanguard FTSE Europe ETF
EFG,iShares MSCI EAFE Growth ETF
XLP,Consumer Staples Select Sector SPDR Fund
VHT,Vanguard Health Care ETF
XLU,Utilities Select Sector SPDR Fund
SCHG,Schwab U.S. Large-Cap Growth ETF
SPYG,SPDR Portfolio S&P 500 Growth ETF
SPLG,SPDR Portfolio S&P 500 ETF
VOE,Vanguard Mid-Cap Value ETF
VMBS,Vanguard Mortgage-Backed Securities ETF
SPDW,SPDR Portfolio Developed World ex-US ETF
EFV,iShares MSCI EAFE Value ETF
USFR,WisdomTree Floating Rate Treasury Fund
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
GDX,VanEck Gold Miners ETF
SPYV,SPDR Portfolio S&P 500 Value ETF
BIV,Vanguard Intermediate-Term Bond ETF
XLY,Consumer Discretionary Select Sector SPDR Fund
ESGU,iShares ESG Aware MSCI USA ETF
VXF,Vanguard Extended Market ETF
HYG,iShares iBoxx $ High Yield Corporate Bond ETF
SCHA,Schwab U.S. Small-Cap ETF
SCHO,Schwab Short-Term U.S. Treasury ETF
