,Symbol,Name,Close
2023-04-14 00:00:00-04:00,SPY,SPDR S&P 500 ETF Trust,412.4599914550781
2023-04-14 00:00:00-04:00,IVV,iShares Core S&P 500 ETF,414.25
2023-04-14 00:00:00-04:00,VOO,Vanguard 500 Index Fund,378.989990234375
2023-04-14 00:00:00-04:00,VTI,Vanguard Total Stock Market Index Fund,205.0800018310547
2023-04-14 00:00:00-04:00,QQQ,Invesco QQQ Trust,318.57000732421875
2023-04-14 00:00:00-04:00,VEA,Vanguard Developed Markets Index Fund,46.27000045776367
2023-04-14 00:00:00-04:00,VTV,Vanguard Value Index Fund,140.4199981689453
2023-04-14 00:00:00-04:00,IEFA,iShares Core MSCI EAFE ETF,68.4000015258789
2023-04-14 00:00:00-04:00,BND,Vanguard Total Bond Market Index Fund,73.68000030517578
2023-04-14 00:00:00-04:00,AGG,iShares Core U.S. Aggregate Bond ETF,99.4000015258789
2023-04-14 00:00:00-04:00,VUG,Vanguard Growth Index Fund,248.8800048828125
2023-04-14 00:00:00-04:00,VWO,Vanguard Emerging Markets Stock Index Fund,40.65999984741211
2023-04-14 00:00:00-04:00,IEMG,iShares Core MSCI Emerging Markets ETF,49.279998779296875
2023-04-14 00:00:00-04:00,IJH,iShares Core S&P Mid-Cap ETF,247.97999572753906
2023-04-14 00:00:00-04:00,IJR,iShares Core S&P Small-Cap ETF,95.27999877929688
2023-04-14 00:00:00-04:00,VIG,Vanguard Dividend Appreciation Index Fund,155.8699951171875
2023-04-14 00:00:00-04:00,IWF,iShares Russell 1000 Growth ETF,244.25
2023-04-14 00:00:00-04:00,GLD,SPDR Gold Shares,186.36000061035156
2023-04-14 00:00:00-04:00,VXUS,Vanguard Total Intl Stock Idx Fund,56.31999969482422
2023-04-14 00:00:00-04:00,VO,Vanguard Mid Cap Index Fund,209.86000061035156
2023-04-14 00:00:00-04:00,IWD,iShares Russell 1000 Value ETF,154.30999755859375
2023-04-14 00:00:00-04:00,IWM,iShares Russell 2000 ETF,176.50999450683594
2023-04-14 00:00:00-04:00,VYM,Vanguard High Dividend Yield Index Fund,107.06999969482422
2023-04-14 00:00:00-04:00,EFA,iShares MSCI EAFE ETF,73.22000122070312
2023-04-14 00:00:00-04:00,BNDX,Vanguard Total International Bond Index Fund,48.54999923706055
2023-04-14 00:00:00-04:00,SCHD,Schwab U.S. Dividend Equity ETF,73.58000183105469
2023-04-14 00:00:00-04:00,VGT,Vanguard Information Technology Index Fund,380.3699951171875
2023-04-14 00:00:00-04:00,XLK,Technology Select Sector SPDR Fund,148.64999389648438
2023-04-14 00:00:00-04:00,VB,Vanguard Small Cap Index Fund,187.83999633789062
2023-04-14 00:00:00-04:00,ITOT,iShares Core S&P Total U.S. Stock Market ETF,90.91999816894531
2023-04-14 00:00:00-04:00,XLE,Energy Select Sector SPDR Fund,87.2300033569336
2023-04-14 00:00:00-04:00,VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund,80.23999786376953
2023-04-14 00:00:00-04:00,XLV,Health Care Select Sector SPDR Fund,134.57000732421875
2023-04-14 00:00:00-04:00,BSV,Vanguard Short-Term Bond Index Fund,76.43000030517578
2023-04-14 00:00:00-04:00,VCSH,Vanguard Short-Term Corporate Bond Index Fund,76.25
2023-04-14 00:00:00-04:00,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,109.38999938964844
2023-04-14 00:00:00-04:00,TLT,iShares 20+ Year Treasury Bond ETF,105.08000183105469
2023-04-14 00:00:00-04:00,VEU,Vanguard FTSE All-World ex-US Index Fund,54.52000045776367
2023-04-14 00:00:00-04:00,RSP,Invesco S&P 500 Equal Weight ETF,144.64999389648438
2023-04-14 00:00:00-04:00,VNQ,Vanguard Real Estate Index Fund,81.19000244140625
2023-04-14 00:00:00-04:00,MUB,iShares National Muni Bond ETF,107.94000244140625
2023-04-14 00:00:00-04:00,IXUS,iShares Core MSCI Total International Stock ETF,63.2599983215332
2023-04-14 00:00:00-04:00,SCHX,Schwab U.S. Large-Cap ETF,48.650001525878906
2023-04-14 00:00:00-04:00,SCHF,Schwab International Equity ETF,35.70000076293945
2023-04-14 00:00:00-04:00,IEF,iShares 7-10 Year Treasury Bond ETF,98.91999816894531
2023-04-14 00:00:00-04:00,XLF,Financial Select Sector SPDR Fund,32.880001068115234
2023-04-14 00:00:00-04:00,IVW,iShares S&P 500 Growth ETF,64.55000305175781
2023-04-14 00:00:00-04:00,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,91.62999725341797
2023-04-14 00:00:00-04:00,USMV,iShares MSCI USA Min Vol Factor ETF,73.6500015258789
2023-04-14 00:00:00-04:00,IAU,iShares Gold Trust,38.0099983215332
2023-04-14 00:00:00-04:00,IWB,iShares Russell 1000 ETF,226.5500030517578
2023-04-14 00:00:00-04:00,DIA,SPDR Dow Jones Industrial Average ETF Trust,338.8399963378906
2023-04-14 00:00:00-04:00,SHY,iShares 1-3 Year Treasury Bond ETF,82.0
2023-04-14 00:00:00-04:00,IWR,iShares Russell Mid-Cap ETF,69.58999633789062
2023-04-14 00:00:00-04:00,QUAL,iShares MSCI USA Quality Factor ETF,125.0
2023-04-14 00:00:00-04:00,VTEB,Vanguard Tax-Exempt Bond Index Fund,50.79999923706055
2023-04-14 00:00:00-04:00,VT,Vanguard Total World Stock Index Fund,93.0999984741211
2023-04-14 00:00:00-04:00,MBB,iShares MBS ETF,94.43000030517578
2023-04-14 00:00:00-04:00,VV,Vanguard Large Cap Index Fund,188.22000122070312
2023-04-14 00:00:00-04:00,GOVT,iShares U.S. Treasury Bond ETF,23.309999465942383
2023-04-14 00:00:00-04:00,EEM,iShares MSCI Emerging Markets ETF,39.720001220703125
2023-04-14 00:00:00-04:00,JPST,JPMorgan Ultra-Short Income ETF,50.25
2023-04-14 00:00:00-04:00,IVE,iShares S&P 500 Value ETF,152.4499969482422
2023-04-14 00:00:00-04:00,IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,50.529998779296875
2023-04-14 00:00:00-04:00,VBR,Vanguard Small Cap Value Index Fund,156.97999572753906
2023-04-14 00:00:00-04:00,JEPI,JPMorgan Equity Premium Income ETF,54.779998779296875
2023-04-14 00:00:00-04:00,SHV,iShares Short Treasury Bond ETF,110.26000213623047
2023-04-14 00:00:00-04:00,DGRO,iShares Core Dividend Growth ETF,50.709999084472656
2023-04-14 00:00:00-04:00,TIP,iShares TIPS Bond ETF,109.83999633789062
2023-04-14 00:00:00-04:00,SDY,SPDR S&P Dividend ETF,123.26000213623047
2023-04-14 00:00:00-04:00,IUSB,iShares Core Total USD Bond Market ETF,46.029998779296875
2023-04-14 00:00:00-04:00,DVY,iShares Select Dividend ETF,118.23999786376953
2023-04-14 00:00:00-04:00,SCHB,Schwab U.S. Broad Market ETF,48.09000015258789
2023-04-14 00:00:00-04:00,VGSH,Vanguard Short-Term Treasury Index Fund,58.40999984741211
2023-04-14 00:00:00-04:00,MDY,SPDR S&P MIDCAP 400 ETF Trust,454.3800048828125
2023-04-14 00:00:00-04:00,ACWI,iShares MSCI ACWI ETF,92.30000305175781
2023-04-14 00:00:00-04:00,VGK,Vanguard European Stock Index Fund,63.040000915527344
2023-04-14 00:00:00-04:00,DFAC,Dimensional U.S. Core Equity 2 ETF,25.559999465942383
2023-04-14 00:00:00-04:00,XLP,Consumer Staples Select Sector SPDR Fund,75.18000030517578
2023-04-14 00:00:00-04:00,VHT,Vanguard Health Care Index Fund,247.16000366210938
2023-04-14 00:00:00-04:00,XLU,Utilities Select Sector SPDR Fund,68.88999938964844
2023-04-14 00:00:00-04:00,SCHG,Schwab U.S. Large-Cap Growth ETF,65.33999633789062
2023-04-14 00:00:00-04:00,SPYG,SPDR Portfolio S&P 500 Growth ETF,55.93000030517578
2023-04-14 00:00:00-04:00,SPLG,SPDR Portfolio S&P 500 ETF,48.5099983215332
2023-04-14 00:00:00-04:00,VOE,Vanguard Mid-Cap Value Index Fund,133.8800048828125
2023-04-14 00:00:00-04:00,VMBS,Vanguard Mortgage-Backed Securities Index Fund,46.439998626708984
2023-04-14 00:00:00-04:00,SPDW,SPDR Portfolio Developed World ex-US ETF,32.880001068115234
2023-04-14 00:00:00-04:00,EFV,iShares MSCI EAFE Value ETF,49.959999084472656
2023-04-14 00:00:00-04:00,USFR,WisdomTree Floating Rate Treasury Fund,50.380001068115234
2023-04-14 00:00:00-04:00,VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,47.7400016784668
2023-04-14 00:00:00-04:00,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,85.88999938964844
2023-04-14 00:00:00-04:00,GDX,VanEck Gold Miners ETF,35.09000015258789
2023-04-14 00:00:00-04:00,SPYV,SPDR Portfolio S&P 500 Value ETF,40.88999938964844
2023-04-14 00:00:00-04:00,BIV,Vanguard Intermediate-Term Bond Index Fund,76.66999816894531
2023-04-14 00:00:00-04:00,XLY,Consumer Discretionary Select Sector SPDR Fund,146.89999389648438
2023-04-14 00:00:00-04:00,ESGU,iShares ESG Aware MSCI USA ETF,90.83000183105469
2023-04-14 00:00:00-04:00,VXF,Vanguard Extended Market Index Fund,138.22999572753906
2023-04-14 00:00:00-04:00,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,75.27999877929688
2023-04-14 00:00:00-04:00,SCHA,Schwab U.S. Small-Cap ETF,41.41999816894531
2023-04-14 00:00:00-04:00,SCHO,Schwab Short-Term U.S. Treasury ETF,48.65999984741211
